"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Freq"
"71","older adult","Female","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","No","Yes","Not at Risk","No","Never","Weekly","No","Yes",1
"72","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Weekly","No","Yes",1
"73","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Never","Weekly","No","Yes",1
"74","older adult","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Weekly","No","Yes",1
"75","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Weekly","No","Yes",1
"76","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Often True","Never true","No","No","At Risk","No","Never","Weekly","No","Yes",1
"77","older adult","Male","Non-Hispanic Black","Some college","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Never","Weekly","No","Yes",1
"78","older adult","Female","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Not Covered","2 to 3","Yes","Never true","Never true","No","Yes","Not at Risk","No","Not Asked","Weekly","No","Yes",1
"79","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","Yes","Sometimes true","Sometimes true","No","Yes","At Risk","No","Not Asked","Weekly","No","Yes",1
"80","older adult","Male","Non-Hispanic Black","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","No","Not Asked","Weekly","No","Yes",1
"81","middle age","Female","Non-Hispanic Black","College Graduate or above","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Not Asked","Weekly","No","Yes",1
"82","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Not Asked","Weekly","No","Yes",1
"83","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Sometimes true","No","No","At Risk","No","Not Asked","Weekly","No","Yes",1
"84","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","10 to 12","No","Never true","Never true","No","No","At Risk","No","Not Asked","Weekly","No","Yes",1
"85","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Never true","Never true","No","Yes","At Risk","No","Past drinker","Weekly","No","Yes",1
"86","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Past drinker","Weekly","No","Yes",1
"87","older adult","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Past drinker","Weekly","No","Yes",1
"88","young adult-2","Male","Non-Hispanic Black","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Current Drinker","More than Weekly","No","Yes",1
"89","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Never","More than Weekly","No","Yes",1
"90","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Never","More than Weekly","No","Yes",1
"91","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Not Asked","More than Weekly","No","Yes",1
"92","middle age","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","13 or more","Yes","Sometimes true","Sometimes true","Yes","Yes","Not at Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"93","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Often True","Often True","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"94","middle age","Male","Non-Hispanic Black","Some college","Married","Poverty Index > 1.85","Covered","10 to 12","Yes","Often True","Often True","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"95","middle age","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"96","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Sometimes true","Sometimes true","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"97","middle age","Male","Hispanic","Less than High School","Never Married","Poverty Index <= 1.3","Covered","1","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"98","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Not Covered","13 or more","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"99","middle age","Female","Non-Hispanic Black","Some college","Previously Married","Poverty Index in (1.30, 1.85)","Covered","13 or more","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"100","older adult","Female","Non-Hispanic Black","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"101","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Sometimes true","Sometimes true","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"102","middle age","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","1","Yes","Often True","Often True","No","No","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"103","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"104","young adult-2","Male","Non-Hispanic Black","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","Yes","No",1
"105","middle age","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Often True","Often True","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"106","middle age","Male","Non-Hispanic Black","High School/GED","Married","Poverty Index <= 1.3","Covered","10 to 12","No","Often True","Often True","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"107","middle age","Male","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index > 1.85","Covered","10 to 12","Yes","Often True","Sometimes true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"108","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"109","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"110","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"111","older adult","Male","Other","College Graduate or above","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"112","middle age","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Not Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"113","older adult","Male","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"114","older adult","Female","Hispanic","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"115","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"116","middle age","Male","Hispanic","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Not Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"117","older adult","Male","Hispanic","College Graduate or above","Previously Married","Poverty Index > 1.85","Not Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"118","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"119","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"120","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"121","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"122","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"123","older adult","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"124","older adult","Male","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Not Covered","None","Yes","Sometimes true","Sometimes true","Yes","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"125","older adult","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","1","Yes","Sometimes true","Sometimes true","Yes","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"126","older adult","Male","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Often True","Often True","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"127","middle age","Male","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Sometimes true","Sometimes true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"128","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"129","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"130","older adult","Male","Hispanic","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"131","older adult","Male","Non-Hispanic White","College Graduate or above","Never Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"132","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"133","older adult","Male","Non-Hispanic White","High School/GED","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"134","older adult","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","Yes","No",1
"135","older adult","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Never","Less than Weekly","Yes","No",1
"136","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","Yes","No",1
"137","older adult","Male","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","Yes","No",1
"138","older adult","Female","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","Yes","No",1
